city,total_liters
DES MOINES,2554321.370000001
CEDAR RAPIDS,1430873.3200000178
DAVENPORT,1082915.0600000091
WEST DES MOINES,910548.0500000023
COUNCIL BLUFFS,751945.1000000015
SIOUX CITY,728768.7700000001
WATERLOO,675466.7100000023
IOWA CITY,673058.6500000004
AMES,619158.1800000004
ANKENY,611086.9599999998
DUBUQUE,589849.2399999999
CORALVILLE,466957.6899999995
CEDAR FALLS,454567.8599999991
MASON CITY,373648.3899999994
DEWITT,324749.7699999999
WINDSOR HEIGHTS,304272.8999999995
URBANDALE,272722.9199999998
FORT DODGE,272171.08999999915
BETTENDORF,262638.7199999996
MOUNT VERNON,250237.25
MUSCATINE,222022.57999999984
ALTOONA,219168.02999999985
MARSHALLTOWN,207881.3299999999
OTTUMWA,207602.01999999993
CLINTON,207108.0099999999
MARION,201749.46
BURLINGTON,181506.69000000003
CARROLL,173587.85000000003
WAUKEE,164691.8
GRIMES,164519.44000000012
KEOKUK,153108.86
SPIRIT LAKE,146965.81
INDIANOLA,145512.35
SPENCER,135155.49000000005
WAVERLY,132309.77000000005
NEWTON,131581.80000000005
BOONE,124790.82000000002
STORM LAKE,118498.01000000005
LE MARS,109285.14000000007
WASHINGTON,104894.92000000003
PLEASANT HILL,101633.45000000006
OSKALOOSA,101178.15000000007
MILFORD,101015.77000000003
DENISON,100062.43000000004
DECORAH,92909.28000000004
JOHNSTON,92561.16000000013
ALGONA,87086.21000000006
PELLA,85696.51000000002
ATLANTIC,85410.61000000004
FORT MADISON,84809.23000000004
ARNOLDS PARK,84195.62000000002
GRINNELL,81296.6300000001
MANCHESTER,80859.15000000004
KNOXVILLE,80783.41000000002
CRESTON,79274.30000000003
NORTH LIBERTY,79085.54000000001
FAIRFIELD,76448.49000000003
ANAMOSA,74841.06000000007
INDEPENDENCE,74547.20000000006
CLEAR LAKE,73130.06
IOWA FALLS,71720.60000000005
SHELDON,70225.31000000003
CHARLES CITY,67443.23000000007
MAQUOKETA,65409.890000000014
HARLAN,63624.44000000002
WINTERSET,61468.259999999995
CRESCO,60866.84000000002
OELWEIN,59832.28000000003
MOUNT PLEASANT,59338.36
HUMBOLDT,58442.01000000001
WEBSTER CITY,58142.05000000001
CENTERVILLE,57236.76
DYERSVILLE,57217.28000000002
OSCEOLA,56508.659999999996
SIOUX CENTER,55588.66999999999
RED OAK,54706.92000000001
ELDRIDGE,54313.05000000001
NORWALK,53583.48000000001
WAUKON,53524.3
PERRY,52528.07999999999
CHEROKEE,48453.460000000014
SHENANDOAH,48380.37000000001
CLIVE,48258.609999999986
NEVADA,48233.780000000006
WEST BURLINGTON,47470.280000000006
CLEARLAKE,47458.09999999999
EMMETSBURG,46989.560000000005
TOLEDO,46128.06
ESTHERVILLE,45302.1
FOREST CITY,45093.69000000001
ORANGE CITY,44415.1
ADEL,43560.63
VINTON,42242.66999999999
CHARITON,39548.21999999999
JEFFERSON,39233.35999999999
TIPTON,37257.31
CLARINDA,36638.9
MONTICELLO,36183.78
GLENWOOD,35814.07000000001
MT PLEASANT,32457.750000000004
POLK CITY,31984.539999999997
EVANSDALE,31917.44999999999
HAMPTON,31688.249999999993
MARENGO,29066.329999999987
SAC CITY,28335.97
IDA GROVE,28287.199999999986
HIAWATHA,27539.03999999998
ALBIA,27422.739999999998
BANCROFT,26720.689999999995
ROCK RAPIDS,25877.759999999987
OSAGE,25466.149999999998
BELLEVUE,24919.67
ONAWA,24766.539999999983
TIFFIN,24724.67999999999
NORTHWOOD,24579.39999999999
HUDSON,24570.19
NEW HAMPTON,24547.86
CARLISLE,22983.609999999993
BELLE PLAINE,22653.549999999992
SIBLEY,22600.159999999996
ROCK VALLEY,22525.799999999992
HUXLEY,22480.709999999992
LARCHWOOD,22069.26
SERGEANT BLUFF,21930.159999999993
ELDORA,21663.82
BONDURANT,21605.759999999984
GUTTENBERG,21538.009999999995
LE CLAIRE,21374.729999999996
MONTEZUMA,20481.329999999994
EAGLE GROVE,20078.479999999996
BELMOND,19991.299999999996
MISSOURI VALLEY,19945.149999999983
HOLSTEIN,19800.78
LAKE VIEW,19255.149999999994
WEST UNION,18727.689999999995
GARNER,18559.839999999997
WILLIAMSBURG,18443.09
