category_name,total_sales
AMERICAN VODKAS,61309680.989997014
CANADIAN WHISKIES,44740720.269999236
STRAIGHT BOURBON WHISKIES,35023608.72999988
100% AGAVE TEQUILA,26823245.779999614
WHISKEY LIQUEUR,24905597.039999854
SPICED RUM,20757182.779999726
TENNESSEE WHISKIES,15996134.319999738
TEMPORARY & SPECIALTY PACKAGES,15086996.519999709
IMPORTED BRANDIES,13019456.729999961
IMPORTED VODKAS,11887528.929999888
IMPORTED CORDIALS & LIQUEURS,11695975.64000003
BLENDED WHISKIES,11033650.580000056
AMERICAN FLAVORED VODKA,10980000.110000335
MIXTO TEQUILA,10444565.90000006
IRISH WHISKIES,9392461.099999946
FLAVORED RUM,8170688.3200000115
CREAM LIQUEURS,7903233.069999967
COCKTAILS/RTD,7656145.029999875
AMERICAN SCHNAPPS,6217708.18000001
WHITE RUM,6108836.789999954
IMPORTED SCHNAPPS,6074571.380000005
SCOTCH WHISKIES,5747377.909999988
IMPORTED DRY GINS,5195259.920000004
IMPORTED FLAVORED VODKA,5016389.200000018
AMERICAN BRANDIES,4704983.0300000105
STRAIGHT RYE WHISKIES,4444525.630000011
AMERICAN CORDIALS & LIQUEURS,4413311.860000047
SINGLE MALT SCOTCH,4104245.2400000063
AMERICAN DRY GINS,3209255.010000008
NEUTRAL GRAIN SPIRITS FLAVORED,2726855.170000013
IMPORTED DISTILLED SPIRITS SPECIALTY,2229813.319999999
COFFEE LIQUEURS,2052357.5400000075
AMERICAN DISTILLED SPIRITS SPECIALTY,1461044.3499999992
SINGLE BARREL BOURBON WHISKIES,1287832.510000001
SPECIAL ORDER ITEMS,1252126.51
GOLD RUM,1005734.0899999982
AGED DARK RUM,941921.2100000003
BOTTLED IN BOND BOURBON,928032.7900000003
TRIPLE SEC,778891.4900000001
NEUTRAL GRAIN SPIRITS,699466.47
FLAVORED GIN,659103.4299999999
MEZCAL,495602.2699999998
CORN WHISKIES,406703.95999999996
AMERICAN SLOE GINS,26259.12
DISTILLED SPIRITS SPECIALTY,3564.98
IMPORTED GINS,1593.3600000000001
IMPORTED WHISKIES,1150.56
