name,total_sales,sum(sale_liters)
HY-VEE #3 / BDI / DES MOINES,13884149.260000017,712649.16
CENTRAL CITY 2,13040995.060000023,653141.52
HY-VEE WINE AND SPIRITS / IOWA CITY,5818034.620000003,343548.16
ANOTHER ROUND / DEWITT,5550597.090000003,282599.22
BENZ DISTRIBUTING,4578562.750000005,228021.55999999994
COSTCO WHOLESALE #788 / WDM,4192483.0200000005,270531.07
WILKIE LIQUORS,3880903.8200000017,237102.43
I-80 LIQUOR / COUNCIL BLUFFS,3325059.8000000017,163488.99000000002
SAM'S CLUB 6344 / WINDSOR HEIGHTS,3154195.410000001,200141.44999999998
SAM'S CLUB 8162 / CEDAR RAPIDS,3024630.5100000007,195035.65
HY-VEE FOOD STORE / URBANDALE,2983857.260000001,128304.02
WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,2789557.8300000015,89194.14000000001
HY-VEE FOOD STORE / CORALVILLE,2572395.110000001,135399.90000000005
SAM'S CLUB 6979 / ANKENY,2454210.7300000014,161488.55000000002
"CENTRAL CITY LIQUOR, INC.",2414181.3100000033,94413.51000000001
COSTCO WHOLESALE #1111 / CORALVILLE,2354974.5900000003,159784.95
SAM'S CLUB 6514 / WATERLOO,2313548.350000001,159071.9
HY-VEE / WAUKEE,2262657.2100000014,112156.54000000004
SAM'S CLUB 6432 / SIOUX CITY,2255038.0500000007,148589.8
HY-VEE WINE AND SPIRITS / WDM,2194417.9000000013,108537.09000000008
SAM'S CLUB 8238 / DAVENPORT,2184492.4500000007,154328.84999999998
HY-VEE #7 / CEDAR RAPIDS,2168334.320000003,111546.2300000001
HY-VEE WINE AND SPIRITS / BETTENDORF,2077110.4500000014,107698.91000000008
HY-VEE  #2 / AMES,2065575.3400000003,105879.44
HY-VEE FOOD STORE #2 / STATE ANKENY,2055139.4400000009,97781.74000000005
HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,2026156.930000001,110277.29000000008
HY-VEE WINE AND SPIRITS / ANKENY,2007552.0800000008,107387.16000000005
SAM'S CLUB 6472 / COUNCIL BLUFFS,1909091.8300000005,125987.99999999999
HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1832465.0800000012,91771.84000000007
HY-VEE FOOD STORE #1 / MASON CITY,1830942.3900000006,123313.03000000003
HY-VEE #4 / WDM,1820026.6900000006,90211.06000000006
SAM'S CLUB 6568 / AMES,1799643.0100000005,117267.84999999999
HY-VEE FOOD STORE / DUBUQUE,1795834.9900000002,104701.65999999999
SAM'S CLUB 4973 / DUBUQUE,1756500.0400000003,113687.25
HY-VEE WINE & SPIRITS #2 / DAVENPORT,1676016.9100000004,92985.53000000001
NORTHSIDE LIQUOR AND GROCERY / MASON CITY,1646987.8699999999,85459.06000000004
OKOBOJI AVENUE LIQUOR,1621487.1400000008,96862.97
HY-VEE FOOD STORE / ALTOONA,1615969.5899999999,93942.12
COSTCO WHOLESALE #1325 / DAVENPORT,1575047.9,103285.51999999999
HY-VEE #2 / CORALVILLE,1574065.2100000004,71040.59000000001
HY-VEE FOOD STORE / FLEUR / DSM,1571798.1500000006,81044.82
HY-VEE FOOD STORE #5 / CEDAR RAPIDS,1548392.7900000005,88017.64000000004
HY-VEE #4 / DAVENPORT,1540321.9900000007,75822.12999999999
HAPPY'S WINE & SPIRITS,1524420.4000000008,73351.72000000002
HY-VEE FORT DODGE WINE AND SPIRITS,1481210.8000000003,84200.98000000001
HY-VEE / GRIMES,1463597.6200000006,71387.45000000004
HY-VEE FOOD STORE / CARROLL,1439546.7600000002,91289.11
SYCAMORE CONVENIENCE,1417926.3499999999,74148.50000000001
HY-VEE FOOD STORE / MARION,1383211.9700000007,81278.52000000002
HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,1353907.9900000007,72857.89
HY-VEE FOOD STORE / CEDAR FALLS,1331041.4800000004,75714.47000000003
HY-VEE FOOD STORE #3 / SIOUX CITY,1327079.0200000005,72030.26
LOT-A-SPIRITS,1323643.6099999999,68659.41
HY-VEE FOOD STORE / MUSCATINE,1314145.7600000012,81249.28000000001
KEOKUK SPIRITS,1311034.6400000004,72130.11
