vendor_name,total_sales
DIAGEO AMERICAS,85510718.2499969
SAZERAC COMPANY  INC,58934176.199999146
JIM BEAM BRANDS,30475501.240000155
FIFTH GENERATION INC,27169740.49000055
HEAVEN HILL BRANDS,25643405.569999225
PERNOD RICARD USA,25636983.509997524
BACARDI USA INC,22405697.360000085
BROWN FORMAN CORP.,19360324.659999657
LUXCO INC,15349098.720000602
PROXIMO,14680601.710000016
E & J GALLO WINERY,9422759.370000008
MOET HENNESSY USA,9400824.440000007
"MAST-JAGERMEISTER US, INC",4985528.509999946
REMY COINTREAU USA INC,4585988.300000016
INFINIUM SPIRITS,4453588.090000015
PHILLIPS BEVERAGE,4386345.330000002
CAMPARI AMERICA,4383837.080000003
MCCORMICK DISTILLING CO.,3984722.6699999883
OLE SMOKY DISTILLERY LLC,3804423.6800000137
WILLIAM GRANT & SONS INC,3586878.340000003
CEDAR RIDGE VINEYARDS LL,3159929.819999994
LAIRD & COMPANY,3083467.1800000207
CONSTELLATION BRANDS INC,2533776.78000001
PARK STREET IMPORTS,2285703.660000001
INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,2243179.3699999945
FOUR ROSES DISTILLERY,1879055.7899999996
"BLUE OX SPIRITS, INC.",1730902.840000008
MHW LTD,1726194.2600000007
LEVECKE CORPORATION,1557928.6099999999
WESTERN SPIRITS BEVERAGE,1146714.5800000005
STOLI GROUP,1117704.93
REVELTON DISTILLING COMPANY,1092370.5
MISA IMPORTS INC,974316.54
DUNKEL CORPORATION / IOWA DISTILLING,688070.2599999993
MISSISSIPPI RIVER DISTIL,658767.3399999995
DEHNER DISTILLERY,630232.27
GOAMERICAGO BEVERAGES LLC / WHISTLEPIG,598758.3699999999
DISARONNO INTERNATIONAL,575566.1699999999
"FOUNDRY DISTILLING COMPANY, LLC",522840.58
MISSISSIPPI RIVER DISTILLING COMPANY LLC,500840.1799999997
EDRINGTON GROUP USA LLC,463611.29000000015
SUGARLANDS DISTILLING COMPANY LLC,446349.30000000005
S&B FARMS DISTILLERY,419058.99000000034
"SOVEREIGN BRANDS, LLC",396375.94999999984
PIEDMONT DISTILLERS INC,381603.9599999998
